Zip,Total Population,Median Age,Percent White,Percent Black,Percent Hispanic,Median Income,Mean Income
11209,71704,38.4,79,2,14.6,57082,80997
11210,64508,34.1,36.1,56.5,6.8,52895,72345
11211,90522,28.6,85.1,4.3,27.2,42610,62098
11212,80311,32.1,5,85.6,15.6,27278,38168
11213,62231,31.4,19.7,72.1,9.6,34046,45630
11214,78326,40.9,59.5,1,12.1,39822,54880
11215,65477,34.9,74.7,5.5,17.8,88450,125128
11216,53065,34.1,11.4,78.2,9.6,40174,54693
11217,38992,35.4,52.9,23.2,21.4,74518,111074
11218,76811,32.4,57.9,9.8,20,50938,66711
11219,94083,28.4,66.3,1.4,11.6,34804,51375
11220,99540,32.5,34.8,3.2,40,37822,52252
11221,77041,31.4,25.7,54.5,41.4,36577,48517
11222,33482,34,85.9,2,13.3,60610,74569
11223,73208,40.3,66.7,3.1,12.1,40626,58107
11224,45092,47.3,60.2,25.6,16.1,31822,45299
11225,58987,35.2,13.4,78.1,9,40295,53819
11226,99422,33.9,10.2,76.4,16.2,39481,50667
11228,42585,40.7,69.7,1.6,9.9,59624,79691
11229,77021,40.6,72.1,4.5,8.3,48683,65115
11230,85757,33.9,72.5,9.2,10.5,43147,61727
11231,35109,34.4,61.7,13.3,23.6,71895,101734
11232,27925,30.7,43.7,6.8,60.6,38353,54763
11233,66315,31.8,4.1,83.9,15.5,34633,48047
11234,94891,37.8,46.9,44,7.6,67776,83647
11235,71129,45.6,79.8,2.9,8.3,42492,62842
11236,94643,36.1,8.1,84.3,8,61794,71984
11237,52123,28.8,24.1,6.6,77.9,37648,47206
11238,50840,34.5,36.9,45.8,11.1,61950,80729
11239,12802,42.1,36.1,49.3,25.2,23941,34784
11351,0,,,,,,
11354,53050,42.1,28.9,4.3,16.7,48771,63568
11355,82505,40.2,19.3,3.4,15.5,44587,59124
11356,21721,37.2,55.3,1.7,35.4,60981,77881
11357,40516,42.9,78.1,0.6,12.8,75922,92941
11358,38668,41.1,50.3,1.8,13.5,68079,84105
11359,0,,,,,,
11360,20953,47.4,63.8,0.9,7.6,79553,100704
